-- domains.txt
-- domena - nazov domeny / domain name
-- ID reg - Identifikator registratora domeny / Registrar identifier
-- ID drzitela - Identifikator drzitela domeny / Registrant identifier
-- Stav domeny - stav v ktorom sa nachadza domena (do domeny.txt sa generuju iba domeny ktore sa generuju do zony SK) / current domain name status (only domains generated into the SK zone are presented within domeny.txt)
-- NS1-4 - NS zaznamy pre domenu / NS domain records
-- Generovany / Generated: 02.10.2017 02:15
domena;ID reg;ID drzitela;Stav domeny;NS1;NS2;NS3;NS4;datum exspiracie
0-0.sk;WEBS-0001;JNFE-0002;OK;ns2.websupport.sk;ns3.websupport.sk;ns1.websupport.sk;;05.09.2018
0-24.sk;WEBG-0001;WEBG-0001;OK;ns.webglobe.sk;ns2.webglobe.sk;ns3.webglobe.sk;;27.10.2017
